gender,n,deaths,APACHE-IVa,LogReg,Global XGB (cal.)
F,7485,658,"0.467 [0.427, 0.509]","0.533 [0.497, 0.572]","0.561 [0.524, 0.600]"
M,8798,762,"0.448 [0.412, 0.485]","0.505 [0.467, 0.541]","0.552 [0.517, 0.585]"
