Model,AUC_ROC,AUC_PR,Brier,n
APACHE-IVa (benchmark),0.8642062118473554,0.4555701341734403,0.06257674361493124,16288
Logistic Regression,0.8851650592437247,0.5018445821449798,0.13395673108566047,18343
Global XGBoost (raw),0.9051725561115492,0.5700161278170883,0.10317641001928758,18343
Global XGBoost (isotonic cal.),0.9034788255887057,0.5388628268635349,0.05352245669494142,18343
Specialist XGBoosts (aggregated),0.8793138085596214,0.5123414930150173,0.08320976841519016,18343
